Sr. No.,CAB Id,CAB Name,User Name,Standard,Field,Assessment Type,Contact Person,Email,Mobile,Address,State,City,Pincode,Status,Discipline/Category,Group/Activity(s),Certificate Number,Certificate Issue Date,Certificate Valid Till,Certificate Extend Date,Certificate Ammendment Date,Do Alloted,Created On
52,M-1338,"CLINICAL LABORATORY, SUN PHARMACEUTICAL INDUSTRIES LIMITED",nabl003612,2022,Medical,Renewal of Accreditation,ANURAG MISHRA,anurag.mishra2@sunpharma.com,9818434825,"2ND FLOOR, HAKEEM ABDUL HAMEED CENTENARY HOSPITAL, HAMDARD NAGAR",Delhi,New Delhi,110062,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2414,17/10/2025,16/10/2029,,,Archive Applications,May 13 2026 7:30AM
53,M-0069,"DR. HEDGEWAR RUGNALAYA, SMT. RAMADEVIRAJNARAYAN BAGLA PATHOLOGY LABORATORY",nabl003632,2022,Medical,Renewal of Accreditation,Shridhan Anand Patil,shridhan@gmail.com,9786955837,GARKHEDA,Maharashtra,Aurangabad,431005,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Diagnostics,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-2417,21/03/2026,20/03/2030,,02/04/2026,Gayathri S,May 13 2026 7:30AM
54,M-0356,PUSHPAWATI SINGHANIA HOSPITAL & RESEARCH INSTITUTE - LABORATORY DIVISION,nabl003635,2022,Medical,Renewal of Accreditation,Inder Sharma,labquality@psri.net,9958290387,"PLOT NO. 2, PRESS ENCLAVE ROAD, SHEIKH SARAI - II",Delhi,New Delhi,110017,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2995,27/10/2025,26/10/2029,,10/11/2025,Archive Applications,May 13 2026 7:30AM
55,M-1451,JEEVA SPECIALTY LABORATORY,nabl003641,2022,Medical,Renewal of Accreditation,C BALACHANDRAN,balachandran.c.j@gmail.com,9847036603,"38 - 613/, 38 - 614/ VISITORS BUILDING, M.G ROAD, POOTHOLE P.O",Kerala,Thrissur,680004,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Microbiology & Infectious disease serology",,MC-2781,20/12/2025,19/12/2029,,,Archive Applications,May 13 2026 7:30AM
56,M-1033,"LABORATORY SERVICES, DOWN TOWN HOSPITAL LIMITED",nabl003652,2022,Medical,Renewal of Accreditation,ARINDAM BHATTACHARYA,quality.dth@downtowngroup.org,7002187578,"G.S.ROAD, SANKARDEV PATH, DISPUR",Assam,Guwahati,781006,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology",,MC-5964,08/09/2025,07/09/2029,,,Archive Applications,May 13 2026 7:30AM
57,M-0455,DR. LAL PATHLABS LTD.,nabl003693,2022,Medical,Renewal of Accreditation,MANGESH CHIKHALE,mangesh.chikhale@lalpathlabs.com,9159525451,"GROUND FLOOR, ANAND EMERALD, SAKORE NAGAR, NEW AIRPORT ROAD",Maharashtra,Pune,411014,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-6373,08/03/2026,07/03/2030,,17/03/2026,Archive Applications,May 13 2026 7:30AM
58,M-1339,AVIGNA LABORATORIES LLP,nabl003712,2022,Medical,Renewal of Accreditation,SIVAPRASADARAO J,sivaprasadarao.jampani@avignadiagnostics.com,9885094110,"H.NO.1-54/56/3, J.S. PLAZA, MADINAGUDA, CHANDANAGAR",Telangana,Hyderabad,500049,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Testing,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7166,08/02/2025,07/02/2029,,,Archive Applications,May 13 2026 7:30AM
59,M-0155,DEPARTMENT OF PATHOLOGY DISHARI HEALTH POINT PVT. LTD.,nabl003749,2022,Medical,Renewal of Accreditation,PULAKESH PRAMANIK,dishari_hp@yahoo.co.in,8116602187,"19 B. G. ROAD, MOKDUMPUR",West Bengal,Malda,732103,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7098,16/01/2025,15/01/2029,,,Archive Applications,May 13 2026 7:30AM
60,M-1406,ONE DIAGNOSTICS (A UNIT OF BANDHAN LIFE SCIENCE PVT. LTD.),nabl003759,2022,Medical,NABL 201,HARSHIT PAROLIA,pharma@haprox.com,9831068548,"5A/1A, LORD SINHA ROAD, AMAR SUDHA BUILDING",West Bengal,Kolkata,700071,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-2596,18/06/2025,03/07/2026,,,Shweta Sinha,May 13 2026 7:30AM
61,M-0957,MALLIGE LABS (UNIT OF MALLIGE MEDICAL CENTER PRIVATE LIMITED),nabl003771,2022,Medical,Renewal of Accreditation,Sahana G R,lab@mallige.com,9972408335,"31, 32 CRESCENT ROAD, MADHAVA NAGAR, GANDHI NAGAR",Karnataka,Bengaluru,560001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Diagnostics,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-2068,07/02/2026,06/02/2030,,25/02/2026,Archive Applications,May 13 2026 7:30AM
62,M-1099,"MARWARI HOSPITALS, A UNIT OF SHREE MARWARIDATABYA AUSHADHYALAYA (DEPARTMENT OF PATHOLOGY)",nabl003805,2022,Medical,Renewal of Accreditation,ATUL KUMAR AGARWAL,ATULAIN@YAHOO.CO.IN,9401512615,"S J ROAD, ATHGAON",Assam,Guwahati,781008,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-2586,01/04/2026,31/03/2030,,,Shweta Sinha,May 13 2026 7:30AM
63,M-0280,DEPARTMENT OF LABORATORY MEDICINE- MAHARAJA AGRASEN HOSPITAL,nabl003812,2022,Medical,Renewal of Accreditation,Meena Sijwali,dlmmah15@gmail.com,9810656546,"ROHTAK ROAD, PUNJABI BAGH",Delhi,Delhi,110026,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2044,10/12/2025,09/12/2029,,,Archive Applications,May 13 2026 7:30AM
64,M-1137,"SREE BALAJI MEDICAL COLLEGE AND HOSPITAL, CENTRAL LABORATORY",nabl003823,2022,Medical,Renewal of Accreditation,ANBUMOZHI M K,"sreebalajinabl@gmail.com, anbudolly@gmail.com",9677068638,"7, CLC WORKS ROAD, CHROMEPET",Tamil Nadu,Chennai,600044,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-6022,29/09/2025,28/09/2029,,,Archive Applications,May 13 2026 7:30AM
65,M-1501,VIJAYA DIAGNOSTIC CENTRE LIMITED,nabl003828,2022,Medical,Renewal of Accreditation,Vijaya Sree Mathe,vijayasree.mathe@vijayadiagnostic.in,8008466550,"D- BLOCK, PALAM VIHAR",Haryana,Gurgaon,122017,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2861,15/07/2025,14/07/2029,,31/07/2025,Archive Applications,May 13 2026 7:30AM
66,M-0219,DELHI HEART & LUNG INSTITUTE-LABORATORY,nabl003830,2022,Medical,Renewal of Accreditation,SARITA KUMARI,lab@dhli.in,9873439803,3MM II PANCHKUAIN ROAD,Delhi,New Delhi,110055,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",",--Select Group--",MC-6231,04/01/2026,03/01/2030,,21/01/2026,Gayathri S,May 13 2026 7:30AM
67,M-1630,PRIYANKA PATILS PLATINUM LAB LLP,nabl003832,2022,Medical,Renewal of Accreditation,PRIYANKA PATIL,priyankabhoir@gmail.com,7208776741,"SHOP 6 & 7, FIRST FLOOR, MITALI HEIGHTS, PUNE LINK ROAD",Maharashtra,Kalyan,421306,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-3079,21/12/2025,20/12/2029,,,Shweta Sinha,May 13 2026 7:30AM
68,M-1337,"DEPARTMENT OF LABORATORY MEDICINE, DR. BALABHAI NANAVATI HOSPITAL",nabl003904,2022,Medical,Renewal of Accreditation,SUSHMA SHETTY,sushma.shetty@nanavatihospital.org,9920972093,SWAMI VIVEKANANDA ROAD (S.V. ROAD),Maharashtra,Mumbai,400056,Accreditation Certificate Approved and Issued,"Cytopathology,Molecular Testing,Histopathology,Microbiology & Infectious disease serology",,MC-2374,18/09/2025,17/09/2029,,,Archive Applications,May 13 2026 7:30AM
69,M-0217,GODREJ MEMORIAL HOSPITAL PATHOLOGY LABORATORY,nabl003908,2022,Medical,Renewal of Accreditation,AFSHAN KHAN,hodpathology@godrejhospital.com,9167356521,"PIROJSHAH NAGAR, VIKHROLI (EAST)",Maharashtra,Mumbai,400079,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2084,10/01/2025,09/01/2029,,20/01/2025,Archive Applications,May 13 2026 7:30AM
70,M-0446,DR. LAL PATHLABS LIMITED,nabl003926,2022,Medical,Renewal of Accreditation,Richa Daljeet Singh,yr.kushal@lalpathlabs.com,9113823318,"#17/1, FEATHERLITE",Karnataka,Bengaluru,560103,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Cytogenetics,Haematology,Histopathology,Clinical Pathology,Flow Cytometry,Microbiology & Infectious disease serology",,MC-6790,05/09/2024,04/09/2026,,,Archive Applications,May 13 2026 7:30AM
71,M-0395,CLINICAL DIAGNOSTIC CENTRE (A UNIT OF M.M. DIAGNOSTICS PVT LTD),nabl003938,2022,Medical,NABL 201,R. K Saxena,clinicaldiagnosticcentre@gmail.com,9810604410,"69, HARGOVIND ENCLAVE, KARKARDOOMA",Delhi,Delhi,110092,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-2296,27/05/2025,15/08/2026,,,Archive Applications,May 13 2026 7:30AM
72,M-0328,"LABORATORY DIAGNOSTIC SERVICES, ST STEPHEN'S HOSPITAL",nabl003946,2022,Medical,Renewal of Accreditation,RENUKA JOSEPH,renukadoc10@gmail.com,9717077688,ST. STEPHEN'S HOSPITAL TIS HAZARI,Delhi,Delhi,110054,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",",--Select Group--",MC-2570,10/04/2026,09/04/2030,,04/05/2026,Gayathri S,May 13 2026 7:30AM
73,M-1138,CYTOGENETICS DEPARTMENT,nabl003992,2022,Medical,Renewal of Accreditation,Yuvarani S,cytogen@cmcvellore.ac.in,9894921124,CHRISTIAN MEDICAL COLLEGE,Tamil Nadu,Vellore,632004,Accreditation Certificate Approved and Issued,Cytogenetics,,MC-2775,30/05/2025,29/05/2029,,,Archive Applications,May 13 2026 7:30AM
74,M-0359,"DEPARTMENT OF LABORATORY MEDICINE, KAILASH HOSPITALS LIMITED",nabl003995,2022,Medical,Renewal of Accreditation,VANDANA KHARE,lab.gnoida@kailashhospital.com,8448045950,"23, KP-1",Uttar Pradesh,Greater Noida,201310,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Haematology & Immunohaematology",,MC-2485,06/02/2026,05/02/2030,,09/02/2026,Archive Applications,May 13 2026 7:30AM
75,M-1011,KOKILABEN DHIRUBHAI AMBANI HOSPITAL LABORATORY,nabl003999,2022,Medical,Renewal of Accreditation,SHUCHI SINGHAL,shuchi.singhal@kokilabenhospitals.com,9819023536,FOUR BUNGALOWS,Maharashtra,Mumbai,400053,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Cytogenetics,Haematology,Histopathology,Clinical Pathology,Flow Cytometry,Microbiology & Infectious disease serology",,MC-2295,21/07/2025,20/07/2029,,07/08/2025,Archive Applications,May 13 2026 7:30AM
76,M-0145,DR LAL PATHLABS LTD,nabl004021,2022,Medical,Renewal of Accreditation,Parul Joshi,Parul.joshi@lalpathlabs.com,9810098513,"N 27, G B NAGAR, SECTOR 18",Uttar Pradesh,Noida,201301,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-2618,01/08/2024,31/07/2026,,,Archive Applications,May 13 2026 7:30AM
77,M-1221,DR LAL PATHLABS Limited,nabl004028,2022,Medical,Renewal of Accreditation,PREETI SETH,preeti.seth@lalpathlabs.com,9896096295,"SCF 35, SECTOR-11, HUDA",Haryana,Panipat,132103,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2585,23/11/2025,22/11/2029,,,Archive Applications,May 13 2026 7:30AM
78,M-0780,VIJAYA DIAGNOSTIC CENTRE LTD.,nabl004054,2022,Medical,NABL 201,Vijaya Sree Mathe,vijayasree.mathe@vijayadiagnostic.in,9989701120,"D. NO. 47-11-16, GRAND PALACE, FIRST FLOOR, DWARAKA NAGAR",Andhra Pradesh,Visakhapatnam,530016,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2172,01/05/2025,30/04/2029,,21/08/2025,Archive Applications,May 13 2026 7:30AM
79,M-1379,MICRO CLINICAL LABORATORY & DIAGNOSTIC CENTRE PVT. LTD.,nabl004068,2022,Medical,Renewal of Accreditation,Sujoy Kumar Sarkar,microlabhaldia@gmail.com,9875440310,"N-497, HPL LINK ROAD, BASUDEVPUR, P.O. KHANJANCHAK",West Bengal,Haldia,721602,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-2502,18/12/2024,17/12/2028,,,Archive Applications,May 13 2026 7:30AM
80,M-0931,HOLY FAMILY HOSPITAL - LABORATORY,nabl004090,2022,Medical,Renewal of Accreditation,AARTI SARDA,labqm@holyfamilyhospitaldelhi.org,9716832520,"OKHLA ROAD, OKHLA",Delhi,New Delhi,110025,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Histopathology,Hematology & Immunohematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2929,20/10/2025,19/10/2029,,24/10/2025,Archive Applications,May 13 2026 7:30AM
81,M-0355,LABORATORY SERVICES OF KALRA HOSPITAL SRCNC PVT. LTD,nabl004120,2022,Medical,NABL 201,Shweta Jha,labkalra@yahoo.com,9717936505,"A-4, 5 & 6, TULSI DASS KALRA MARG, KIRTI NAGAR",Delhi,Delhi,110015,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-2451,15/07/2025,28/11/2028,,,Archive Applications,May 13 2026 7:30AM
82,M-0666,SARVODAYA HOSPITAL LABORATORY (A UNIT OF ANSHU HOSPITALS LIMITED),nabl004139,2022,Medical,Renewal of Accreditation,VISHNU GOGNA,vishnu.g@sarvodayahospital.com,9818926526,"1/508, BARADARI ,GOPI COLONY,SECTOR-19",Haryana,Faridabad,121001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Haematology & Immunohaematology",,MC-2092,26/04/2026,25/04/2030,,,Gayathri S,May 13 2026 7:30AM
83,M-0288,ALCARE DIAGNOSTIC & RESEARCH CENTRE PVT LTD,nabl004147,2022,Medical,Renewal of Accreditation,MANOJ SARMA,alcare.nabl@gmail.com,9957171632,"U.C.O BANK CAMPUS, BHANGAGARH, RAJGARH ROAD, KAMRUP METRO",Assam,Guwahati,781005,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Haematology,Histopathology,Clinical Pathology",,MC-5794,11/07/2025,10/07/2029,,,Archive Applications,May 13 2026 7:30AM
84,M-1038,SAKRA WORLD HOSPITAL LABORATORY SERVICES,nabl004155,2022,Medical,Renewal of Accreditation,SHABNAM ROOHI,shabnam.roohi@sakraworldhospital.com,7259003874,SY NO 52/2 AND 52/3 DEVARABEESANAHALLI VARTHUR HOBLI,Karnataka,Bengaluru,560103,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2195,06/05/2025,05/05/2029,,,Archive Applications,May 13 2026 7:30AM
85,M-0257,PADMASHREE DIAGNOSTICS (A UNIT OF PADMASREE MEDICARE PVT.LTD.),nabl004160,2022,Medical,Scope Extension,Archana P C,padmashree.qms@gmail.com,9964425656,"#97, 17TH CROSS, MC LAYOUT, CHORD ROAD, VIJAYANAGAR",Karnataka,Bengaluru,560040,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",",--Select Group--",MC-6644,02/07/2024,01/07/2026,,15/07/2025,Archive Applications,May 13 2026 7:30AM
86,M-1141,"CLINICAL LABORATORY SERVICES, DR. RAMESH CARDIAC & MULTI SPECIALITY HOSPITAL",nabl004175,2022,Medical,Renewal of Accreditation,RAMESH NURUBHASHA,rameshnurubasha@rameshhospitals.com,9705953377,"54-16-14, RAMESH HOSPITAL ROAD, WARD-33 D",Andhra Pradesh,Vijayawada,520008,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-6013,26/09/2025,25/09/2029,,,Archive Applications,May 13 2026 7:30AM
87,M-0833,DR. LAL PATHLABS LIMITED,nabl004235,2022,Medical,Renewal of Accreditation,SWATI SINGH,Swati.Singh@lalpathlabs.com,7906136088,"C-30 RDC, RAJNAGAR",Uttar Pradesh,Ghaziabad,201002,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-2615,09/04/2026,08/04/2030,,21/04/2026,Shweta Sinha,May 13 2026 7:30AM
88,M-0861,"MGM'S CENTRAL PATHOLOGY LABORATORY, MAHATMA GANDHI MISSION HOSPITAL",nabl004243,2022,Medical,Renewal of Accreditation,SACHIN KALE,drss.kale@gmail.com,9823244033,"N-6, CIDCO",Maharashtra,Aurangabad,431001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Testing,Haematology,Microbiology & Infectious disease serology",,MC-2839,29/06/2025,28/06/2029,,,Archive Applications,May 13 2026 7:30AM
89,M-1351,"DEPARTMENT OF LABORATORY MEDICINE,VENKATESHWAR HOSPITAL [A UNIT OF ALL INDIA SOCIETY FOR HEALTH AID EDUCATION & RESEARCH(A.S.H.A)]",nabl004286,2022,Medical,Renewal of Accreditation,Stuti Gupta,stuti.gupta@venkateshwarhospitals.com,9711795212,"SECTOR 18A, DWARKA",Delhi,Delhi,110075,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-2523,03/01/2026,02/01/2030,,,Archive Applications,May 13 2026 7:30AM
90,M-0151,MADRAS MEDICAL MISSION CLINICAL LABORATORY SERVICES,nabl004378,2022,Medical,Renewal of Accreditation,V Chitrasree,nablqm@mmm.org.in,8870984162,"4-A, J.J. NAGAR, MOGAPPAIR",Tamil Nadu,Chennai,600037,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Diagnostics,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-2682,24/04/2026,23/04/2030,,,Gayathri S,May 13 2026 7:30AM
91,M-1160,HOUSE OF DIAGNOSTICS HEALTHCARE PRIVATE LIMITED,nabl004407,2022,Medical,Renewal of Accreditation,Ruhani Kanwar,Labmedicine@houseofdiagnostics.com,9319272999,"15,16 HARGOVIND ENCLAVE, MAIN VIKAS MARG",Delhi,New Delhi,110092,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Diagnostics,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-2853,09/04/2026,08/04/2030,,15/04/2026,Shweta Sinha,May 13 2026 7:30AM
92,M-0914,DEPARTMENT OF LABORATORY MEDICINE P. D. HINDUJA NATIONAL HOSPITAL AND MEDICAL RESEARCH CENTRE,nabl004415,2022,Medical,Renewal of Accreditation,Veena Rajput,veena.rajput@hindujahospital.com,9167853515,"LALITA GIRIDHAR (S1) BUILDING, VEER SAVARKAR MARG, MAHIM WEST",Maharashtra,Mumbai,400016,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Flow Cytometry,Microbiology & Infectious disease serology",,MC-2513,19/12/2025,18/12/2029,,09/01/2026,Archive Applications,May 13 2026 7:30AM
93,M-0551,HIVTL - NRL MMC,nabl004417,2022,Medical,NABL 201,Ramani,nrl.mmc@gmail.com,9489472503,"ROOM NO. 106, TOWER BLOCK-1, INSTITUTE OF MICROBIOLOGY, MADRAS MEDICAL COLLEGE AND RAJIV GANDHI GOVERNMENT GENERAL HOSPITAL, EVR PERIYAR SALAI, PARK TOWN",Tamil Nadu,Chennai,600003,Accreditation Certificate Approved and Issued,"Flow Cytometry,Microbiology & Infectious disease serology",,MC-2429,09/09/2025,10/09/2026,,,Archive Applications,May 13 2026 7:30AM
94,M-1186,DR LAL PATHLABS LIMITED,nabl004440,2022,Medical,Renewal of Accreditation,Shweta Kasana,Shweta.kasana@lalpathlabs.com,8375958924,"GROUND FLOOR COMMERCIAL PREMISES, 15C/20, VASUNDHRA",Uttar Pradesh,Ghaziabad,201012,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7701,24/10/2025,23/10/2029,,,Archive Applications,May 13 2026 7:30AM
95,M-1312,CENTER FOR RENAL AND UROLOGICAL PATHOLOGY PRIVATE LIMITED,nabl004443,2022,Medical,Renewal of Accreditation,ANILA ABRAHAM KURIEN,anila_abraham08@yahoo.com,9840903889,"DOOR NO 27 AND 28, VMT NAGAR, KOLATHUR",Tamil Nadu,Chennai,600099,Accreditation Certificate Approved and Issued,Histopathology,,MC-2331,16/07/2024,15/07/2026,,27/07/2024,Archive Applications,May 13 2026 7:30AM
96,M-0511,SAMPURNA SODANI DIAGNOSTIC CLINIC,nabl004450,2022,Medical,Renewal of Accreditation,RANJANA HAWALDAR,drranjana@sampurnadiagnostics.com,9303227630,"LG-1, MORYA CENTRE, 16/1 RACE COURSE ROAD",Madhya Pradesh,Indore,452001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2138,31/05/2025,30/05/2029,,,Archive Applications,May 13 2026 7:30AM
97,M-0210,CHARAKDHAR DIAGNOSTICS PRIVATE LIMITED,nabl004453,2022,Medical,Renewal of Accreditation,PRAMOD SINGH,charak1984@gmail.com,9793318881,"BASEMENT, 292/05 TULSIDAS MARG, CHOWK",Uttar Pradesh,Lucknow,226003,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",,MC-2491,21/12/2025,20/12/2029,,24/12/2025,Archive Applications,May 13 2026 7:30AM
98,M-0899,UNIPATH DIAGNOSTICS (A UNIT OF RAJ MEDICARE CENTRE),nabl004461,2022,Medical,Renewal of Accreditation,SALIL NARANG,dr_salilnarang@hotmail.com,9911828229,"G-49, LAJPAT NAGAR-2",Delhi,New Delhi,110024,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-2305,12/07/2024,11/07/2026,,,Archive Applications,May 13 2026 7:30AM
99,M-1727,DOCTORS DIAGNOSTIC CENTRE,nabl004504,2022,Medical,Renewal of Accreditation,HEMANT KAPOOR,Hemant2k18@gmail.com,9315119468,"1441-A, WARD NO.1, NAJAFGARH",Delhi,Delhi,110043,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Testing,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-3237,04/01/2025,03/01/2029,,15/01/2025,Archive Applications,May 13 2026 7:30AM
100,M-1020,DEPT. OF LAB MEDICINE CIVIL HOSPITAL,nabl004525,2022,Medical,Renewal of Accreditation,Snigdha Goyal,pathgh6pkl@gmail.com,9711578378,"FIRST FLOOR, C BLOCK, NEW BUILDING 132, SECTOR 6",Haryana,Panchkula,134109,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",,MC-7113,18/01/2025,17/01/2029,,,Archive Applications,May 13 2026 7:30AM
1,M-0845,SADHU VASWANI MISSION MEDICAL CENTRE,nabl004565,2022,Medical,NABL 201,PUNITA SACHDEVA,kalkalpunita@gmail.com,9911700257,"4TH STREET, SHANTI NIKETAN",Delhi,New Delhi,110021,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-2619,04/06/2025,24/06/2026,,,Archive Applications,May 13 2026 7:30AM
2,M-0147,AXIS CLINICALS LIMITED (CLINICAL REFERENCE LABORATORY),nabl004580,2022,Medical,Renewal of Accreditation,S RAVINDER,Ravinder.S@Axisclinicals.com,9848217614,"1-121/1, 5TH FLOOR, MIYAPUR",Telangana,Hyderabad,500049,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2324,11/09/2025,10/09/2029,,,Archive Applications,May 13 2026 7:30AM
3,M-1380,"FORTIS HEALTHCARE LIMITED, CLINICAL LABORATORY, FORTIS HOSPITAL",nabl004583,2022,Medical,Renewal of Accreditation,MONIKA GUPTA,monika.gupta@fortishealthcare.com,9818852521,"A,BLOCK SHALIMAR BAGH",Delhi,New Delhi,110088,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2535,06/02/2025,05/02/2029,,,Archive Applications,May 13 2026 7:30AM
4,M-0012,DR. LAL PATHLABS LTD.,nabl004591,2022,Medical,Scope Extension,Ritu chadha,Ritu.chadha@lalpathlabs.com,9833586272,"16A, 16B, SOHAM PLAZA, GHODBUNDER ROAD, MANPADA",Maharashtra,Thane,400607,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Testing,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-6703,05/08/2024,04/08/2026,,28/04/2025,Archive Applications,May 13 2026 7:30AM
5,M-0756,"CENTRAL LAB, CHHATRAPATI SHIVAJI SUBHARTI HOSPITAL",nabl004641,2022,Medical,Renewal of Accreditation,Shubhangi Gupta,subharticentrallab@gmail.com,9359059295,"NH-58, DELHI-HARIDWAR BY PASS ROAD, SUBHARTIPURAM",Uttar Pradesh,Meerut,250005,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2882,26/09/2025,25/09/2029,,27/09/2025,Archive Applications,May 13 2026 7:30AM
